2 threads,4 threads,8 threads,16 threads,32 threads
0.23,0.34,1.22,1.66,6.35
0.21,0.40,1.17,1.76,5.31
0.21,0.50,1.12,1.66,5.94
0.15,0.42,1.02,1.68,5.57
0.19,0.44,1.20,1.73,6.08
