2 threads,4 threads,8 threads,16 threads,32 threads
1.78,10.56,0.49,0.25,0.28
1.75,0.88,1.00,0.25,0.26
2.54,1.47,0.48,0.24,0.28
1.73,0.89,2.49,0.24,0.24
1.75,0.89,0.62,0.24,0.24
