2 threads,4 threads,8 threads,16 threads,32 threads
0.03,0.03,0.03,0.03,0.03
0.03,0.03,0.03,0.03,0.03
0.03,0.03,0.03,0.04,0.03
0.04,0.03,0.03,0.03,0.03
0.03,0.03,0.03,0.03,0.04
