2 threads,4 threads,8 threads,16 threads,32 threads
0.09,0.29,0.88,2.15,3.97
0.09,0.37,1.00,1.91,4.01
0.07,0.36,0.96,2.03,3.97
0.09,0.36,0.94,2.00,3.89
0.09,0.43,0.98,2.13,4.84
