2 threads,4 threads,8 threads,16 threads,32 threads
1.58,0.81,0.46,0.49,0.49
1.58,0.79,0.44,0.49,0.50
1.58,0.81,0.44,0.49,0.50
1.58,0.79,0.45,0.49,0.51
1.59,0.81,0.45,0.49,0.50
