2 threads,4 threads,8 threads,16 threads,32 threads
2.33,1.14,0.59,0.36,0.34
2.32,1.15,0.59,0.37,0.33
2.33,1.14,0.59,0.38,0.32
2.31,1.14,0.59,0.36,0.37
2.32,1.15,0.59,0.37,0.43
