2 threads,4 threads,8 threads,16 threads,32 threads
0.03,0.03,0.03,0.03,0.03
0.06,0.06,0.03,0.03,0.03
0.04,0.04,0.14,0.04,0.03
0.04,0.10,0.03,0.03,0.03
0.04,0.03,0.03,0.03,0.03
