2 threads,4 threads,8 threads,16 threads,32 threads
0.05,0.06,0.06,0.06,0.06
0.07,0.06,0.06,0.07,0.06
0.06,0.07,0.06,0.07,0.08
0.08,0.06,0.06,0.06,0.06
0.05,0.06,0.08,0.06,0.06
