2 threads,4 threads,8 threads,16 threads,32 threads
0.08,0.31,0.90,1.88,4.09
0.10,0.37,0.93,1.91,4.98
0.10,0.25,1.18,1.96,4.40
0.08,0.44,0.98,2.02,4.07
0.10,0.45,0.96,2.06,4.39
