2 threads,4 threads,8 threads,16 threads,32 threads
2.36,1.20,0.65,0.55,0.58
2.35,1.18,0.66,0.55,0.57
2.35,1.19,0.67,0.55,0.58
2.30,1.18,0.67,0.55,0.57
2.42,1.17,0.65,0.55,0.57
