2 threads,4 threads,8 threads,16 threads,32 threads
2.37,1.15,0.59,0.39,0.41
2.38,1.15,0.59,0.37,0.32
2.41,1.16,0.59,0.37,0.32
2.35,1.15,0.59,0.38,0.32
2.41,1.14,0.59,0.37,0.32
